BTC, GBP
2014-01-21-22-00, 498.696276
2014-01-21-23-00, 499.425925
2014-01-22-00-00, 496.468114
2014-01-22-01-00, 494.714221
2014-01-22-02-00, 493.796745
2014-01-22-03-00, 494.876053
2014-01-22-04-00, 495.297421
2014-01-22-05-00, 495.924771
2014-01-22-06-00, 496.764638
2014-01-22-07-00, 495.388650
2014-01-22-08-00, 494.451733
2014-01-22-09-00, 492.916881
2014-01-22-10-00, 491.775609
2014-01-22-11-00, 489.402425
2014-01-22-12-00, 486.280639
2014-01-22-13-00, 487.867660
2014-01-22-14-00, 490.609531
2014-01-22-15-00, 490.970635
2014-01-22-16-00, 489.562029
2014-01-22-17-00, 490.904934
2014-01-22-18-00, 490.026195
2014-01-22-19-00, 492.536482
2014-01-22-20-00, 493.163688
2014-01-22-21-00, 493.550676
2014-01-22-22-00, 493.948053
2014-01-22-23-00, 494.129275
2014-01-23-00-00, 492.326698
2014-01-23-01-00, 493.292422
2014-01-23-02-00, 492.731943
2014-01-23-03-00, 490.053657
2014-01-23-04-00, 490.953229
2014-01-23-05-00, 492.035425
2014-01-23-06-00, 492.235445
2014-01-23-07-00, 491.918168
2014-01-23-08-00, 492.459270
2014-01-23-09-00, 490.813182
2014-01-23-10-00, 491.126867
2014-01-23-11-00, 490.579329
2014-01-23-12-00, 488.242450
2014-01-23-13-00, 486.990038
2014-01-23-14-00, 485.225415
2014-01-23-15-00, 485.340940
2014-01-23-16-00, 484.732850
2014-01-23-17-00, 486.665190
2014-01-23-18-00, 487.998719
2014-01-23-19-00, 486.700770
2014-01-23-20-00, 488.463711
2014-01-23-21-00, 489.310399
2014-01-23-22-00, 488.853175
2014-01-23-23-00, 486.412936
2014-01-24-00-00, 489.759344
2014-01-24-01-00, 484.927715
2014-01-24-02-00, 481.935673
2014-01-24-03-00, 479.166732
2014-01-24-04-00, 474.308021
2014-01-24-05-00, 472.454461
2014-01-24-06-00, 470.585068
2014-01-24-07-00, 470.872005
2014-01-24-08-00, 476.834524
2014-01-24-09-00, 479.951987
2014-01-24-10-00, 477.452875
2014-01-24-11-00, 474.694091
2014-01-24-12-00, 475.319062
2014-01-24-13-00, 479.498647
2014-01-24-14-00, 481.127953
2014-01-24-15-00, 479.027468
2014-01-24-16-00, 476.756395
2014-01-24-17-00, 479.504278
2014-01-24-18-00, 480.698823
2014-01-24-19-00, 480.507972
2014-01-24-20-00, 477.060933
2014-01-24-21-00, 475.163257
2014-01-24-22-00, 473.900061
2014-01-24-23-00, 472.072579
2014-01-25-00-00, 471.875037
2014-01-25-01-00, 474.971264
2014-01-25-02-00, 475.022423
2014-01-25-03-00, 477.754589
2014-01-25-04-00, 479.607990
2014-01-25-05-00, 478.292327
2014-01-25-06-00, 479.450004
2014-01-25-07-00, 479.980142
2014-01-25-08-00, 480.446430
2014-01-25-09-00, 482.948516
2014-01-25-10-00, 479.402724
2014-01-25-11-00, 480.096036
2014-01-25-12-00, 479.374501
2014-01-25-13-00, 480.883032
2014-01-25-14-00, 479.940377
2014-01-25-15-00, 481.471026
2014-01-25-16-00, 485.945766
2014-01-25-17-00, 487.709823
2014-01-25-18-00, 490.099582
2014-01-25-19-00, 492.102426
2014-01-25-20-00, 493.633442
2014-01-25-21-00, 493.010166
2014-01-25-22-00, 488.968704
2014-01-25-23-00, 486.718863
2014-01-26-00-00, 486.229177
2014-01-26-01-00, 488.867388
2014-01-26-02-00, 489.261070
2014-01-26-03-00, 489.192428
2014-01-26-04-00, 486.619863
2014-01-26-05-00, 486.906701
2014-01-26-06-00, 488.232284
2014-01-26-07-00, 487.013116
2014-01-26-08-00, 485.905431
2014-01-26-09-00, 487.660132
2014-01-26-10-00, 489.114728
2014-01-26-11-00, 488.585904
2014-01-26-12-00, 491.554971
2014-01-26-13-00, 497.769186
2014-01-26-14-00, 499.359841
2014-01-26-15-00, 501.731703
2014-01-26-16-00, 499.724725
2014-01-26-17-00, 501.887267
2014-01-26-18-00, 501.161344
2014-01-26-19-00, 498.334462
2014-01-26-20-00, 497.146991
2014-01-26-21-00, 497.438412
2014-01-26-22-00, 495.155996
2014-01-26-23-00, 493.996414
2014-01-27-00-00, 490.667366
2014-01-27-01-00, 493.115045
2014-01-27-02-00, 493.957383
2014-01-27-03-00, 494.614723
2014-01-27-04-00, 494.049330
2014-01-27-05-00, 493.149145
2014-01-27-06-00, 492.010951
2014-01-27-07-00, 492.520788
2014-01-27-08-00, 492.359069
2014-01-27-09-00, 490.284003
2014-01-27-10-00, 489.272980
2014-01-27-11-00, 486.287250
2014-01-27-12-00, 487.973856
2014-01-27-13-00, 486.161031
2014-01-27-14-00, 486.610976
2014-01-27-15-00, 482.998017
2014-01-27-16-00, 471.887137
2014-01-27-17-00, 467.523559
2014-01-27-18-00, 472.974446
2014-01-27-19-00, 470.214468
2014-01-27-20-00, 466.233719
2014-01-27-21-00, 459.298599
2014-01-27-22-00, 450.625206
2014-01-27-23-00, 447.878197
2014-01-28-00-00, 457.595036
2014-01-28-01-00, 462.109896
2014-01-28-02-00, 464.235336
2014-01-28-03-00, 460.154953
2014-01-28-04-00, 456.675827
2014-01-28-05-00, 453.193734
2014-01-28-06-00, 453.713374
2014-01-28-07-00, 457.105675
2014-01-28-08-00, 456.708198
2014-01-28-09-00, 460.923454
2014-01-28-10-00, 466.297705
2014-01-28-11-00, 472.395484
2014-01-28-12-00, 479.006999
2014-01-28-13-00, 480.708451
2014-01-28-14-00, 479.922127
2014-01-28-15-00, 482.960730
2014-01-28-16-00, 486.670268
2014-01-28-17-00, 486.684320
2014-01-28-18-00, 481.696752
2014-01-28-19-00, 478.159058
2014-01-28-20-00, 476.747424
2014-01-28-21-00, 480.078265
2014-01-28-22-00, 480.133769
2014-01-28-23-00, 475.682640
2014-01-29-00-00, 474.343153
2014-01-29-01-00, 476.334215
2014-01-29-02-00, 476.991371
2014-01-29-03-00, 478.438449
2014-01-29-04-00, 477.398737
2014-01-29-05-00, 475.885119
2014-01-29-06-00, 476.952351
2014-01-29-07-00, 477.953015
2014-01-29-08-00, 478.660903
2014-01-29-09-00, 479.272354
2014-01-29-10-00, 480.173645
2014-01-29-11-00, 481.556502
2014-01-29-12-00, 480.406100
2014-01-29-13-00, 481.321040
2014-01-29-14-00, 480.802234
2014-01-29-15-00, 482.786377
2014-01-29-16-00, 483.861951
2014-01-29-17-00, 483.973614
2014-01-29-18-00, 481.885784
2014-01-29-19-00, 480.539595
