BTC, ETC
2016-10-29-11-00, 0.001331
2016-10-29-12-00, 0.001338
2016-10-29-13-00, 0.001308
2016-10-29-14-00, 0.001250
2016-10-29-15-00, 0.001250
2016-10-29-16-00, 0.001324
2016-10-29-17-00, 0.001325
2016-10-29-18-00, 0.001286
2016-10-29-19-00, 0.001290
2016-10-29-20-00, 0.001261
2016-10-29-21-00, 0.001257
2016-10-29-22-00, 0.001250
2016-10-29-23-00, 0.001267
2016-10-30-00-00, 0.001241
2016-10-30-01-00, 0.001258
2016-10-30-02-00, 0.001329
2016-10-30-03-00, 0.001300
2016-10-30-04-00, 0.001296
2016-10-30-05-00, 0.001257
2016-10-30-06-00, 0.001258
2016-10-30-07-00, 0.001268
2016-10-30-08-00, 0.001275
2016-10-30-09-00, 0.001248
2016-10-30-10-00, 0.001255
2016-10-30-11-00, 0.001275
2016-10-30-12-00, 0.001271
2016-10-30-13-00, 0.001292
2016-10-30-14-00, 0.001323
