BTC, GBP
2014-02-02-05-00, 499.862998
2014-02-02-06-00, 501.140267
2014-02-02-07-00, 500.762730
2014-02-02-08-00, 501.160537
2014-02-02-09-00, 500.402576
2014-02-02-10-00, 500.466063
2014-02-02-11-00, 501.388197
2014-02-02-12-00, 500.058107
2014-02-02-13-00, 499.179989
2014-02-02-14-00, 498.903677
2014-02-02-15-00, 499.316672
2014-02-02-16-00, 499.109951
2014-02-02-17-00, 499.464711
2014-02-02-18-00, 500.136853
2014-02-02-19-00, 498.894802
2014-02-02-20-00, 497.449230
2014-02-02-21-00, 497.296451
2014-02-02-22-00, 497.213877
2014-02-02-23-00, 497.437020
2014-02-03-00-00, 498.779743
2014-02-03-01-00, 498.288415
2014-02-03-02-00, 497.998277
2014-02-03-03-00, 497.682486
2014-02-03-04-00, 497.287413
2014-02-03-05-00, 497.015099
2014-02-03-06-00, 494.596357
2014-02-03-07-00, 494.075844
2014-02-03-08-00, 496.487924
2014-02-03-09-00, 495.709126
2014-02-03-10-00, 496.924593
2014-02-03-11-00, 497.929458
2014-02-03-12-00, 496.352305
2014-02-03-13-00, 495.641933
2014-02-03-14-00, 496.015357
2014-02-03-15-00, 497.544898
2014-02-03-16-00, 497.211987
2014-02-03-17-00, 498.085485
2014-02-03-18-00, 497.583539
2014-02-03-19-00, 496.388050
2014-02-03-20-00, 495.537220
2014-02-03-21-00, 495.912950
2014-02-03-22-00, 495.032683
2014-02-03-23-00, 495.232519
2014-02-04-00-00, 495.013718
2014-02-04-01-00, 494.347059
2014-02-04-02-00, 495.597935
2014-02-04-03-00, 496.870773
2014-02-04-04-00, 497.975443
