ETC, GBP
2016-08-13-02-00, 1.438871
2016-08-13-03-00, 1.437757
2016-08-13-04-00, 1.440982
2016-08-13-05-00, 1.445751
2016-08-13-06-00, 1.466336
2016-08-13-07-00, 1.484194
2016-08-13-08-00, 1.465168
2016-08-13-09-00, 1.464834
2016-08-13-10-00, 1.465946
2016-08-13-11-00, 1.467430
2016-08-13-12-00, 1.450406
2016-08-13-13-00, 1.450186
2016-08-13-14-00, 1.449772
2016-08-13-15-00, 1.444836
2016-08-13-16-00, 1.442302
2016-08-13-17-00, 1.439521
2016-08-13-18-00, 1.426802
2016-08-13-19-00, 1.426254
2016-08-13-20-00, 1.426683
2016-08-13-21-00, 1.426424
2016-08-13-22-00, 1.425737
2016-08-13-23-00, 1.427877
2016-08-14-00-00, 1.480514
2016-08-14-01-00, 1.479601
2016-08-14-02-00, 1.482575
2016-08-14-03-00, 1.476001
2016-08-14-04-00, 1.476025
2016-08-14-05-00, 1.477566
2016-08-14-06-00, 1.476859
2016-08-14-07-00, 1.485072
2016-08-14-08-00, 1.484536
2016-08-14-09-00, 1.487178
2016-08-14-10-00, 1.487820
2016-08-14-11-00, 1.475399
2016-08-14-12-00, 1.473121
2016-08-14-13-00, 1.465097
2016-08-14-14-00, 1.465972
2016-08-14-15-00, 1.464267
2016-08-14-16-00, 1.459863
2016-08-14-17-00, 1.458911
2016-08-14-18-00, 1.510171
2016-08-14-19-00, 1.513434
2016-08-14-20-00, 1.517777
2016-08-14-21-00, 1.517011
2016-08-14-22-00, 1.514064
2016-08-14-23-00, 1.517525
2016-08-15-00-00, 1.468089
2016-08-15-01-00, 1.465523
2016-08-15-02-00, 1.463738
2016-08-15-03-00, 1.467414
2016-08-15-04-00, 1.470119
2016-08-15-05-00, 1.470082
2016-08-15-06-00, 1.507887
2016-08-15-07-00, 1.508591
2016-08-15-08-00, 1.507618
2016-08-15-09-00, 1.507203
2016-08-15-10-00, 1.509989
2016-08-15-11-00, 1.507538
2016-08-15-12-00, 1.541567
2016-08-15-13-00, 1.535289
2016-08-15-14-00, 1.534592
2016-08-15-15-00, 1.527315
2016-08-15-16-00, 1.524404
2016-08-15-17-00, 1.527797
2016-08-15-18-00, 1.439684
2016-08-15-19-00, 1.442586
2016-08-15-20-00, 1.445353
2016-08-15-21-00, 1.443770
2016-08-15-22-00, 1.444272
2016-08-15-23-00, 1.442439
2016-08-16-00-00, 1.424814
2016-08-16-01-00, 1.426891
2016-08-16-02-00, 1.428941
2016-08-16-03-00, 1.426196
2016-08-16-04-00, 1.423970
2016-08-16-05-00, 1.421460
2016-08-16-06-00, 1.442332
2016-08-16-07-00, 1.444417
2016-08-16-08-00, 1.444694
2016-08-16-09-00, 1.449684
2016-08-16-10-00, 1.450527
2016-08-16-11-00, 1.449797
2016-08-16-12-00, 1.405480
2016-08-16-13-00, 1.408643
2016-08-16-14-00, 1.412539
